,Unique ID,Date,User,Tweet,Preproccesed Tweet,toxic_bert,toxic_bert_binary,perspective,perspective_binary
0,1574233212078931970,2022-09-26 03:03:40+00:00,idrewlv,the feminism leaving my body every time alicent speaks #HouseOfTheDragon https://t.co/dHKV5jFp5e,"['feminism', 'leave', 'body', 'every', 'time', 'alicent', 'speak', 'houseofthedragon']",0.003416309366002679,0,0.2965773,0
1,1572652203545853952,2022-09-21 18:21:18+00:00,GKCdaily,Feminism is a muddled idea that women are free when they serve their employers but slaves when they help their husbands.,"['feminism', 'muddle', 'idea', 'women', 'free', 'serve', 'employers', 'slave', 'help', 'husband']",0.06612448394298553,0,0.45045215,0
2,1574244701946929152,2022-09-26 03:49:19+00:00,IsabellaMDeLuca,"Masculinity isn’t toxic, Feminism is.","['masculinity', 'toxic', 'feminism']",0.011658823117613792,0,0.31650472,0
3,1574624880523239424,2022-09-27 05:00:01+00:00,Abdifataah6,Feminism - Obeying your boss is being professional but obeying your husband is slavery.,"['feminism', 'obey', 'boss', 'professional', 'obey', 'husband', 'slavery']",0.22986134886741638,0,0.37647265,0
4,1574576855751049216,2022-09-27 01:49:11+00:00,JennaEllisEsq,"If Giorgia Meloni were a Marxist Globalist instead of a God and County Christian, the Left would be celebrating her as a huge achievement for Feminism.

It doesn’t matter what women accomplish.

It matters what narrative they want to advance.","['giorgia', 'meloni', 'marxist', 'globalist', 'instead', 'god', 'county', 'christian', 'leave', 'would', 'celebrate', 'huge', 'achievement', 'feminism', 'matter', 'women', 'accomplish', 'matter', 'narrative', 'want', 'advance']",0.00943671353161335,0,0.2712817,0
5,1574742005778944007,2022-09-27 12:45:26+00:00,Vikky4_,"NG feminists : Ask them what exactly they are fighting for, they start insulting.

The only thing they are good at is calling men their problems when it's obvious they are the main problems.

Nasty lots with dark hearts using feminism as a cover. 

Bunch of misandrists.","['ng', 'feminists', 'ask', 'exactly', 'fight', 'start', 'insult', 'thing', 'good', 'call', 'men', 'problems', 'obvious', 'main', 'problems', 'nasty', 'lot', 'dark', 'hearts', 'use', 'feminism', 'cover', 'bunch', 'misandrists']",0.6968246102333069,1,0.5550837,1
6,1574474440452308993,2022-09-26 19:02:13+00:00,PenTitan,"""Feminism is much more than that.""

""Feminism isn't about that.""

Yet, so-called feminists defend every crime women commit with ""men have been doing worse for ages"".

We will judge your movement based on what we experience from your members.","['feminism', 'much', 'feminism', 'yet', 'socalled', 'feminists', 'defend', 'every', 'crime', 'women', 'commit', 'men', 'worse', 'age', 'judge', 'movement', 'base', 'experience', 'members']",0.0035587684251368046,0,0.38261065,0
7,1574782450429034498,2022-09-27 15:26:08+00:00,firstdoktor,"What women empowerment is marketed as:

- nakedness
- promiscuity
- toxic feminism
- Brazillian butt lift
- fake breasts/fake hair

What women empowerment really is:

- stocks
- real estate
- good education
- home-keeping
- work/business opportunities","['women', 'empowerment', 'market', 'nakedness', 'promiscuity', 'toxic', 'feminism', 'brazillian', 'butt', 'lift', 'fake', 'breastsfake', 'hair', 'women', 'empowerment', 'really', 'stock', 'real', 'estate', 'good', 'education', 'homekeeping', 'workbusiness', 'opportunities']",0.22041623294353485,0,0.42234805,0
8,1574719059844907008,2022-09-27 11:14:15+00:00,JessicaHeidi5,@UgwunnaEjikem @DavidHundeyin I’m sorry to say this but Nigerian women read and undertook the opposite feminism …or maybe everything shipped down there has been faux. Ghost of itself.,"['ugwunnaejikem', 'davidhundeyin', 'sorry', 'say', 'nigerian', 'women', 'read', 'undertake', 'opposite', 'feminism', '…or', 'maybe', 'everything', 'ship', 'faux', 'ghost']",0.03129856288433075,0,0.2712817,0
9,1574771184834838530,2022-09-27 14:41:22+00:00,barkhatrehan16,The Reality of Feminism 👇 https://t.co/YMzCLRzrgq,"['reality', 'feminism', 'backhand_index_pointing_down']",0.0008812937303446233,0,0.16035037,0
